Date,Open,High,Low,Close,Volume
2007-04-26,1.9914,1.9918,1.9897,1.9901,18697
2007-04-27,1.9901,2.0043,1.9864,1.9984,492786
2007-04-28,1.9984,1.9995,1.9954,1.9976,90222
2007-04-30,1.99578,2.0031,1.989,1.9998,426199
2007-05-01,1.9998,2.00745,1.998,1.9991,601529
2007-05-02,1.9991,2.0007,1.9869,1.9908,888272
2007-05-03,1.9908,1.9946,1.98545,1.9877,784025
2007-05-04,1.9878,1.993,1.98425,1.99285,765833
2007-05-05,1.9929,1.9943,1.9917,1.9918,61467
2007-05-07,1.9941,1.99745,1.99255,1.9943,317203
2007-05-08,1.9943,1.9963,1.9892,1.99,1006617
2007-05-09,1.99,1.99985,1.98795,1.9961,1169931
2007-05-10,1.9961,1.9973,1.9807,1.983,1487561
2007-05-11,1.983,1.9844,1.97615,1.98215,1494637
2007-05-12,1.9822,1.9826,1.9806,1.9814,189770
2007-05-14,1.9824,1.9844,1.97905,1.9802,889988
2007-05-15,1.98015,1.9872,1.9747,1.986,1449819
2007-05-16,1.986,1.9874,1.97705,1.9773,1303943
2007-05-17,1.9773,1.97905,1.9733,1.9746,1259999
2007-05-18,1.9746,1.9778,1.97,1.9754,1112247
2007-05-19,1.9754,1.9762,1.97408,1.9745,130724
2007-05-21,1.9749,1.9754,1.96755,1.9694,859664
2007-05-22,1.9694,1.9769,1.9689,1.97665,1143642
2007-05-23,1.97665,1.9895,1.9715,1.9877,1275477
2007-05-24,1.9877,1.9889,1.9829,1.985,1134832
2007-05-25,1.985,1.9879,1.98315,1.9843,1014114
2007-05-26,1.9843,1.9855,1.9835,1.9836,80612
2007-05-28,1.9839,1.98495,1.98199,1.9831,274538
2007-05-29,1.983,1.9899,1.9807,1.9812,1096111
2007-05-30,1.9811,1.9831,1.9734,1.9745,1230018
2007-05-31,1.97445,1.98185,1.97365,1.9795,1094053
2007-06-01,1.9795,1.9819,1.9758,1.9804,892009
2007-06-02,1.98035,1.9826,1.9802,1.9822,148120
2007-06-04,1.98166,1.9927,1.9811,1.99195,1112527
2007-06-05,1.99195,1.9968,1.99,1.99395,1022820
2007-06-06,1.99395,1.9956,1.9907,1.9913,1332698
2007-06-07,1.9913,1.9942,1.9794,1.9796,1101535
2007-06-08,1.9795,1.9799,1.9622,1.9656,1424041
2007-06-09,1.9656,1.9703,1.96375,1.97,147172
2007-06-11,1.97,1.97005,1.965,1.9684,707570
2007-06-12,1.9684,1.9754,1.9674,1.9748,988273
2007-06-13,1.9748,1.9783,1.9677,1.9726,1147145
2007-06-14,1.9726,1.9741,1.9657,1.9694,1185828
2007-06-15,1.9694,1.9779,1.96857,1.9761,883848
2007-06-16,1.97615,1.9776,1.9737,1.9759,132457
2007-06-18,1.9756,1.9844,1.9746,1.982,826231
2007-06-19,1.982,1.9888,1.9816,1.9882,964484
2007-06-20,1.98815,1.994,1.98684,1.99345,974770
2007-06-21,1.99345,1.9948,1.9886,1.9921,988166
2007-06-22,1.9921,1.9996,1.99084,1.9973,852221
2007-06-23,1.9974,1.9994,1.9971,1.9989,140344
2007-06-25,1.99843,2.0006,1.9956,1.996,599045
2007-06-26,1.9961,2.0016,1.9958,1.9994,1001881
2007-06-27,1.9994,2,1.9929,1.9964,1205816
2007-06-28,1.9964,2.00425,1.99605,2.002,1097091
2007-06-29,2.002,2.0069,2.0004,2.0062,1294384
2007-06-30,2.00605,2.0087,2.00555,2.00847,177027
2007-07-02,2.00815,2.0169,2.0071,2.01595,1071326
2007-07-03,2.01595,2.0195,2.0132,2.0166,1088702
2007-07-04,2.0166,2.0206,2.015,2.01555,598285
2007-07-05,2.0156,2.0202,2.0089,2.0113,1295555
2007-07-06,2.0113,2.0141,2.0058,2.0116,1326907
2007-07-07,2.0116,2.0118,2.01,2.0107,119817
2007-07-09,2.01156,2.017,2.0097,2.0165,972333
2007-07-10,2.0165,2.0274,2.0121,2.0246,1515724
2007-07-11,2.0246,2.0363,2.0223,2.0318,2109777
2007-07-12,2.0318,2.0365,2.0269,2.0287,1760684
2007-07-13,2.0287,2.0366,2.026,2.0343,1524792
2007-07-14,2.0343,2.0355,2.033,2.034,205100
2007-07-16,2.03332,2.0404,2.032,2.03715,1052270
2007-07-17,2.03715,2.04767,2.0349,2.0454,1466440
2007-07-18,2.0454,2.0547,2.0452,2.0532,1655978
2007-07-19,2.0532,2.0545,2.047,2.0487,1507860
2007-07-20,2.0487,2.05865,2.04775,2.0565,1490177
2007-07-21,2.0565,2.0569,2.0536,2.0559,227150
2007-07-23,2.0555,2.0603,2.0538,2.0583,1284909
2007-07-24,2.0583,2.0653,2.05705,2.0625,1560544
2007-07-25,2.0625,2.064,2.04865,2.0509,1579803
2007-07-26,2.0509,2.0543,2.04245,2.04875,1580366
