Date,Open,High,Low,Close,Volume
2007-04-06,118.83,119.39,118.725,119.34,157979
2007-04-07,119.34,119.36,119.21,119.245,10085
2007-04-09,119.245,119.38,119.175,119.28,212315
2007-04-10,119.28,119.385,118.76,119.065,700242
2007-04-11,119.07,119.52,118.87,119.36,753655
2007-04-12,119.36,119.54,118.79,118.99,764515
2007-04-13,118.99,119.565,118.205,119.27,441106
2007-04-14,119.27,119.36,119.1,119.21,52276
2007-04-16,119.15,119.86,119.1,119.845,383953
2007-04-17,119.84,119.86,118.84,118.96,953844
2007-04-18,118.955,119.1,118.11,118.265,923541
2007-04-19,118.27,118.74,117.61,118.36,1035610
2007-04-20,118.36,118.955,118.24,118.81,688783
2007-04-21,118.81,118.85,118.64,118.64,64947
2007-04-23,118.7,119.03,118.225,118.47,630934
2007-04-24,118.47,118.94,118.235,118.52,828340
2007-04-25,118.52,118.84,118.265,118.63,787006
2007-04-26,118.625,119.57,118.53,119.495,964880
2007-04-27,119.495,119.76,118.88,119.59,790363
2007-04-28,119.6,119.75,119.445,119.62,126360
2007-04-30,119.19,119.75,119.11,119.44,952519
2007-05-01,119.44,119.85,119.07,119.77,1834319
2007-05-02,119.77,120.28,119.49,120.05,2151269
2007-05-03,120.045,120.43,119.965,120.33,1506252
2007-05-04,120.33,120.465,119.9,120.16,1404372
2007-05-05,120.16,120.19,120.075,120.16,170798
2007-05-07,120.06,120.18,119.785,119.96,872697
2007-05-08,119.97,120.13,119.52,119.89,2252647
2007-05-09,119.89,120.08,119.625,119.8,2241022
2007-05-10,119.79,120.53,119.75,120.37,2807976
2007-05-11,120.37,120.38,119.47,120.19,3783327
2007-05-12,120.19,120.21,120.04,120.17,364363
2007-05-14,120.24,120.45,120.035,120.38,2007046
2007-05-15,120.37,120.575,120.12,120.22,2851414
2007-05-16,120.22,120.795,120.16,120.74,2890138
2007-05-17,120.74,121.35,120.67,121.3,2682001
2007-05-18,121.3,121.39,120.685,121.085,2250230
2007-05-19,121.085,121.18,121.06,121.11,274318
2007-05-21,121.09,121.62,120.96,121.565,1626403
2007-05-22,121.565,121.63,121.2,121.475,1938554
2007-05-23,121.48,121.87,121.31,121.515,2273473
2007-05-24,121.52,121.795,121.24,121.46,2563617
2007-05-25,121.46,121.75,120.85,121.73,2323300
2007-05-26,121.73,121.87,121.66,121.77,236971
2007-05-28,121.7,121.81,121.61,121.65,391763
2007-05-29,121.65,121.81,121.185,121.78,2092315
2007-05-30,121.78,121.79,121.285,121.48,2896599
2007-05-31,121.48,121.975,121.44,121.755,2358979
2007-06-01,121.76,122.135,121.66,122.1,2122393
2007-06-02,122.095,122.11,121.97,122.06,229131
2007-06-04,122.06,122.11,121.545,121.725,1653890
2007-06-05,121.725,121.94,121.115,121.495,2010856
2007-06-06,121.5,121.515,120.88,121.08,3269391
2007-06-07,121.08,121.56,120.77,121.33,3377721
2007-06-08,121.34,121.83,120.77,121.62,3636713
2007-06-09,121.62,121.78,121.585,121.71,344078
2007-06-11,121.71,121.82,121.51,121.78,1766170
2007-06-12,121.775,121.86,121.59,121.76,1954872
2007-06-13,121.76,122.48,121.48,122.37,2438723
2007-06-14,122.37,123.12,122.21,122.975,2019592
2007-06-15,122.975,123.66,122.86,123.55,1979118
2007-06-16,123.545,123.56,123.395,123.43,338351
2007-06-18,123.44,123.75,123.3,123.665,1749711
2007-06-19,123.67,123.74,123.32,123.39,2702821
2007-06-20,123.385,123.675,123.1,123.6,2625771
2007-06-21,123.6,123.745,123.41,123.67,2500384
2007-06-22,123.67,124.14,123.63,124.085,2449419
2007-06-23,124.085,124.11,123.755,123.87,381802
2007-06-25,123.69,123.94,123.305,123.835,2015895
2007-06-26,123.84,123.91,122.81,123.49,3287280
2007-06-27,123.5,123.52,122.225,122.52,3711543
2007-06-28,122.52,123.36,122.285,123.01,3514519
2007-06-29,123.005,123.56,122.985,123.38,3288226
2007-06-30,123.39,123.4,122.96,123.17,472029
2007-07-02,123.06,123.28,122.245,122.32,2430995
2007-07-03,122.32,122.68,122.085,122.4,3277068
2007-07-04,122.4,122.67,122.21,122.62,1609294
2007-07-05,122.63,123.01,122.33,122.82,2845884
2007-07-06,122.82,123.55,122.675,123.27,3183473
2007-07-07,123.27,123.4,123.255,123.32,338391
2007-07-09,123.36,123.66,123.21,123.34,2175142
2007-07-10,123.34,123.48,121.87,122.19,4170856
2007-07-11,122.19,122.33,120.99,122.13,5737353
2007-07-12,122.13,122.59,121.825,122.495,4406953
2007-07-13,122.495,122.62,121.91,121.99,3954939
2007-07-14,121.99,122.13,121.9,121.91,428490
2007-07-16,121.91,122.18,121.545,121.9,2291217
2007-07-17,121.895,122.4,121.69,122.36,3579324
2007-07-18,122.36,122.41,121.58,121.82,4446227
2007-07-19,121.83,122.18,121.66,122.07,3592799
2007-07-20,122.05,122.44,120.87,121.145,4191033
2007-07-21,121.15,121.33,121.01,121.26,951654
2007-07-23,121.6,121.68,120.8,121.31,3037705
2007-07-24,121.31,121.405,120.4,120.565,3639534
2007-07-25,120.57,120.83,119.805,120.32,4800532
2007-07-26,120.32,120.74,118.96,119.13,4330298
2007-07-27,119.13,119.29,118.01,118.56,5550495
2007-07-28,118.56,118.89,118.43,118.6,724085
2007-07-30,118.47,119.03,118.02,118.41,3515668
2007-07-31,118.41,119.49,118.38,119.14,4431038
2007-08-01,119.13,119.24,117.6,118.7,5035731
2007-08-02,118.7,119.37,118.33,119.36,3724760
2007-08-03,119.36,119.37,118.15,118.43,3312637
2007-08-04,118.43,118.77,117.94,118.03,836393
2007-08-06,117.44,118.15,117.18,118.04,3297778
2007-08-07,118.04,119.1,117.94,118.48,3549812
2007-08-08,118.48,119.79,117.97,119.76,3762275
2007-08-09,119.76,119.83,118.23,118.7,4155612
2007-08-10,118.7,118.82,117.205,117.99,5083359
2007-08-11,117.99,118.74,117.85,118.35,813128
2007-08-13,118.19,118.57,117.68,118.48,3310919
2007-08-14,118.475,118.52,117.72,118.195,4634669
2007-08-15,118.2,118.23,116.61,117.19,5683607
2007-08-16,117.19,117.6,113.58,114.06,5207580
2007-08-17,114.04,114.9,111.59,113.8,4427780
2007-08-18,113.8,114.6,113.76,114.34,621476
2007-08-20,114.16,115.5,113.66,114.5,3481713
2007-08-21,114.49,115.24,114.01,114.42,4280744
2007-08-22,114.42,115.46,113.98,114.955,3389918
2007-08-23,114.955,117.14,114.8,115.82,3843450
2007-08-24,115.81,116.49,115.52,116.13,3646771
2007-08-25,116.13,116.45,116.02,116.42,504481
2007-08-27,116.39,116.75,115.88,116.05,2045875
2007-08-28,116.05,116.25,114.555,114.7,3384759
2007-08-29,114.7,115.63,113.855,115.53,4061242
2007-08-30,115.52,116.25,115.12,115.81,3944370
2007-08-31,115.81,116.61,115.45,115.83,3411594
2007-09-01,115.825,116.15,115.71,115.77,480961
2007-09-03,115.84,116.11,115.66,115.83,1337444
2007-09-04,115.84,116.42,115.33,116.2,2792889
2007-09-05,116.2,116.47,115.005,115.15,3998034
2007-09-06,115.15,115.56,114.81,115.325,3575784
2007-09-07,115.325,115.65,113.12,113.57,3114352
